ID,Target,Target_Accuracy
time_segment_2040_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2041_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2042_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2043_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2044_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2109_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2110_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2111_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2112_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2113_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2182_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2183_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2184_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2185_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2186_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2251_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2252_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2253_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2254_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2255_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2431_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2432_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2433_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2434_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2435_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2500_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2501_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2502_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2503_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2504_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2640_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2641_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2642_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2643_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2644_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2709_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2710_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2711_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2712_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2713_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2891_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2892_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2893_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2894_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2895_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2960_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2961_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2962_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_2963_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_2964_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3054_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3055_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3056_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3057_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3058_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3123_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3124_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3125_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3126_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3127_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3205_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3206_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3207_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3208_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3209_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3274_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3275_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3276_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3277_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3278_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3412_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3413_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3414_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3415_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3416_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3481_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3482_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3483_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3484_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3485_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3671_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3672_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3673_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3674_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3675_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3740_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3741_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3742_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3743_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3744_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3851_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3852_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3853_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3854_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3855_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3920_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3921_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3922_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_3923_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_3924_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4091_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4092_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4093_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4094_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4095_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4160_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4161_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4162_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4163_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4164_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4339_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4340_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4341_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4342_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4343_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4444_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4445_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4446_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4447_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4448_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4513_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4514_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4515_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4516_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4517_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4659_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4660_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4661_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4662_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4663_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4728_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4729_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4730_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4731_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4732_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4909_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4910_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4911_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_4912_Norman Niles #4_congestion_enter_rating,free flowing,free flowing
time_segment_4913_Norman Niles #4_congestion_enter_rating,heavy delay,heavy delay
time_segment_129_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_130_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_131_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_132_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_133_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_198_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_199_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_200_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_201_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_202_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_292_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_293_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_294_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_295_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_296_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_361_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_362_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_363_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_364_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_365_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_466_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_467_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_468_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_469_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_470_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_535_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_536_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_537_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_538_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_539_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_762_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_763_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_764_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_765_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_766_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_831_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_832_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_833_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_834_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_835_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_919_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_920_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_921_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_922_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_923_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_988_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_989_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_990_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_991_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_992_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1173_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1174_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1175_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1176_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1177_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1242_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1243_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1244_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1245_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1246_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1572_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1573_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1574_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1575_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1576_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1641_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1642_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1643_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1644_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1645_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1809_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1810_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1811_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1812_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1813_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1878_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1879_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1880_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_1881_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_1882_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2040_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2041_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2042_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2043_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2044_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2109_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2110_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2111_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2112_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2113_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2182_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2183_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2184_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2185_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2186_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2251_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2252_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2253_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2254_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2255_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2431_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2432_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2433_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2434_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2435_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2500_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2501_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2502_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2503_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2504_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2640_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2641_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2642_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2643_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2644_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2709_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2710_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2711_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2712_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2713_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2891_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2892_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2893_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2894_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2895_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2960_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2961_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2962_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_2963_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_2964_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3054_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3055_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3056_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3057_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3058_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3123_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3124_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3125_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3126_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3127_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3205_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3206_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3207_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3208_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3209_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3274_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3275_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3276_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3277_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3278_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3412_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3413_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3414_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3415_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3416_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3481_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3482_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3483_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3484_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3485_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3671_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3672_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3673_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3674_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3675_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3740_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3741_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3742_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3743_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3744_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3851_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3852_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3853_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3854_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3855_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3920_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3921_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3922_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_3923_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_3924_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4091_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4092_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4093_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4094_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4095_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4160_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4161_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4162_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4163_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4164_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4339_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4340_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4341_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4342_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4343_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4444_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4445_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4446_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4447_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4448_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4513_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4514_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4515_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4516_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4517_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4659_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4660_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4661_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4662_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4663_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4728_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4729_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4730_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4731_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4732_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4909_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4910_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4911_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_4912_Norman Niles #1_congestion_exit_rating,free flowing,free flowing
time_segment_4913_Norman Niles #1_congestion_exit_rating,heavy delay,heavy delay
time_segment_129_Norman Niles #2_congestion_exit_rating,free flowing,free flowing
time_segment_130_Norman Niles #2_congestion_exit_rating,heavy delay,heavy delay
time_segment_131_Norman Niles #2_congestion_exit_rating,free flowing,free flowing
time_segment_132_Norman Niles #2_congestion_exit_rating,heavy delay,heavy delay
time_segment_133_Norman Niles #2_congestion_exit_rating,free flowing,free flowing
time_segment_198_Norman Niles #2_congestion_exit_rating,heavy delay,heavy delay
time_segment_199_Norman Niles #2_congestion_exit_rating,free flowing,free flowing
time_segment_200_Norman Niles #2_congestion_exit_rating,heavy delay,heavy delay
time_segment_201_Norman Niles #2_congestion_exit_rating,free flowing,free flowing
