Funding Org: Org subventionnaire,Country Served:Pays servis,Province Served:Province servis,Fiscal Year:Année fiscal,"Grant Programme:Title:Programme, titre",Geographical Area Served:Région servis,Cross-catchment indicator:,Identifier:Identificateur,Organization name:Nom d'organisme,Submission date: Date de soumission,Approval date:Date approvée,Amount Applied For:Montant demandé,Amount Awarded:Montant décerné,Planned Dates:Duration (months):Dates planifiées:durée(mois),Description (English/Anglais),Description (French/Français),Budget Fund:Fonds du budget,Recipient Org:Incorporation Number:Org du bénéficiaires: Numéro d'incorporation,Recipient Org:Charitable Registration Number: Org du bénéficiaires:Numéro d'enregistrement d'organisme de bienfaisance,Recipient Org:City:Org du bénéficiaires:Ville,Recipient Org:Postal Code: Org du bénéficiaires:code postale,Co-Application:Co-demandeurs,Population Served:Population servis,Age Group:Groupe d'âge,Grant Result:Résultat de subvention,Last modified:Mise à jour
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Halton Peel,No,2Y16170010969,Knighthood Academy Leadership Training c/o For Youth Initiative,9/28/2016,3/30/2017,70000,70000,12,"Delivering a project at the idea or conceptual stage with a grant of $70,000 over 12 months to provide two cycles of 12-week training and workshops with life skills, personal development, leadership, entrepreneurship, and providing access to resources for racialized youth from low-income communities in Brampton. The program will help navigate services and increase economic opportunities by providing skills to find meaningful employment.","Réaliser un projet qui en est au stade de l'idée ou de la conception grâce à une subvention de 70 000 $ échelonnée sur 12 mois afin d'offrir deux cycles de formation de 12 semaines et des ateliers sur les compétences de vie, le perfectionnement personnel, le leadership et l'entrepreneuriat, et de donner accès à des ressources aux jeunes racialisés issus de communautés à faible revenu à Brampton. Ce projet aidera les participants à accéder aux services et leur offrira un plus grand nombre de débouchés économiques en développant leurs capacités de trouver un emploi gratifiant.",Grassroots Innovation - Test,1393760,876026725RR0001,Brampton,L6P 1Z4,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Youth in low-income situations or from low-income families,12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth know about and easily navigate resources and opportunities in their communities,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Simcoe York,No,2Y16170011006,L.I.G.H.T. (Lead Inspire Grow Hope Transform) c/o 360 Kids,9/28/2016,3/30/2017,124009,131800,36,"Delivering a project at the idea or conceptual stage with a grant of $131,800 over 36 months to deliver six signature activities leading to an annual conference, and a seasonal youth camp for newcomer and racialized youth to increase civic engagement in York Region. Youth will participate in and lead initiatives in their communities that address environmental, health, literacy, mentorship and healthy relationships.  ","Réaliser un projet qui repose sur un modèle ou un programme éprouvé grâce à une subvention de 131 800 $ échelonnée sur 36 mois afin de mettre en œuvre six programmes phares menant à une conférence annuelle, ainsi qu'un camp saisonnier pour les jeunes racialisés et nouveaux arrivants et de renforcer l'engagement civique des jeunes dans la région de York. Les jeunes participeront à des initiatives communautaires portant sur l'environnement, la santé, la littératie, le mentorat et les relations saines, et dirigeront de telles initiatives.",Grassroots Innovation - Test,,897036620RR0001,Richmond Hill,L4S 2M6,Yes,Newcomer youth;Racialized youth (other than Black youth);Youth in low-income situations or from low-income families,12 to 14 years;15 to 19 years,Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Toronto,No,2Y16170011535,Legacy D2R c/o TAIBU Community Health Centre,9/28/2016,3/30/2017,273100,295300,36,"Delivering a project that builds on the success of a proven model or program with a grant of $295,300 over 36 months to provide weekly workshops for racialized youth in Malvern that will develop their coping skills involving trauma, or stress management, and build positive relationships.",Réaliser un projet qui repose sur un modèle ou un programme éprouvé grâce à une subvention de 295 300 $ échelonnée sur 36 mois afin d'organiser des ateliers hebdomadaires pour les jeunes racialisés de Malvern qui leur permettront de développer leurs techniques d'adaptation aux traumatismes ou de gestion du stress et de nouer des relations positives.,Grassroots Innovation - Scale,1766331,806960357RR0001,Scarborough,M1B 0A1,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Youth at-risk of dropping out or have dropped out of school;Youth vulnerable of becoming or are in conflict with the law,15 to 19 years;20 to 25 years,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Toronto,No,2Y16170011329,Lifted By Purpose c/o SKETCH Working Arts for Street-involved and Homeless Youth,9/28/2016,3/30/2017,294870,295900,36,"Delivering a project that builds on the success of a proven model or program with a grant of $295,900 over 36 months to expand weekly programming for young people once involved in the criminal justice system, or who are living on the margins in Toronto. The project will include innovative wellness programs focusing on stress management, and will use the arts and other sustainable coping methods to help youth form and maintain healthy relationships.",Réaliser un projet qui repose sur un modèle ou un programme éprouvé grâce à une subvention de 295 900 $ échelonnée sur 36 mois afin d'élargir l'éventail de programmes hebdomadaires offerts aux jeunes qui ont eu des démêlés avec la justice ou qui vivent en marge de la société à Toronto. Ce projet comprend des programmes de mieux-être novateurs axés sur la gestion du stress. Ils feront appel aux arts et à d'autres méthodes d'adaptation durables pour aider les jeunes à nouer et à maintenir des relations saines.,Grassroots Innovation - Scale,,85912 8332 RR0001,Toronto,M3A 1Y7,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law",15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,"Algoma, Cochrane, Manitoulin, Sudbury",No,2Y16170011291,M'Chigeeng Lil'Sisters Empowerment Project c/o M'Chigeeng First Nation,9/28/2016,3/30/2017,400000,400000,48,"Delivering a project that builds on the success of a proven model or program with a grant of $400,000 over 48 months to provide culturally relevant, gender-specific empowerment programming for Indigenous youth in M’Chigeeng First Nation, helping young people become more engaged in the community and fostering a stronger sense of pride in their identity. ",Réaliser un projet qui repose sur un modèle ou un programme éprouvé grâce à une subvention de 400 000 $ échelonnée sur 48 mois afin d'offrir aux jeunes autochtones de la Première Nation de M'Chigeeng des programmes d'habilitation propres à chaque sexe et adaptés à leur culture qui les aideront à jouer un rôle plus actif dans leur communauté et renforceront leur fierté à l'égard de leur identité.,Grassroots Innovation - Scale,,,M'Chigeeng,P0P 1G0,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth living in rural or remote communities;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Hamilton,No,2Y16170011294,McQuesten Community Planning Team c/o Eva Rothwell Centre,9/28/2016,3/30/2017,210000,210000,36,"Delivering a project that builds on the success of a proven model or program with a grant of $210,000 over 36 months to help build the skills of youth and adult allies in co-created safe places within Hamilton's McQuesten and Keith neighbourhoods. This initiative will help form and maintain healthy peer and adult relationships as a foundation for meaningful youth engagement in the community. ","Réaliser un projet qui repose sur un modèle ou un programme éprouvé grâce à une subvention de 210 000 $ échelonnée sur 36 mois afin d'aider à renforcer les habiletés des jeunes et des adultes alliés dans des endroits sûrs créés par eux dans les quartiers McQuesten et Keith, à Hamilton. Cette initiative aidera les jeunes à nouer et à maintenir des relations saines entre eux et avec les adultes et leur permettra de jouer un rôle actif dans la communauté.",Grassroots Innovation - Scale,,802527945RR0001,Hamilton,L8H 2B6,Yes,Newcomer youth;Racialized youth (other than Black youth);Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law,12 to 14 years;15 to 19 years;20 to 25 years,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Toronto,No,2Y16170011473,Mommy Monitor c/o Centre for Social Innovation,9/28/2016,3/30/2017,210000,210000,36,"Delivering a project at the idea or conceptual stage with a $210,000 grant over 36 months to deliver culturally appropriate and patient-centred maternal health programming. Using an online application in conjunction with Maternal Healthcare Mentors for pre and post-natal racialized young women in Toronto, providing information to improve health outcomes.",Réaliser un projet qui en est au stade de l'idée ou de la conception grâce à une subvention de 210 000 $ échelonnée sur 36 mois afin de mettre en œuvre des programmes de santé maternelle axés sur les patientes et adaptés à leur culture. On utilisera un formulaire en ligne et des mentors en soins de santé maternelle pour améliorer les résultats en matière de santé obtenus par les femmes racialisées de Toronto avant et après la naissance de leur enfant.,Grassroots Innovation - Test,1589482,,Toronto,M6A 2P1,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Youth in low-income situations or from low-income families,12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities;Parents or gaurdians of young people,Youth have families and caregivers to help them thirve,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Halton Peel,No,2Y16170011517,My Stand c/o Youth Action Network,9/28/2016,3/30/2017,210000,210000,36,"Delivering a project at the idea or conceptual stage with a grant of $210,000 over 36 months to provide mentorship and workshops for racialized youth in priority neighbourhoods in the Greater Toronto Area. Youth will access specialized skills development training in areas of interest and will be encouraged to reach personal goals through mentorship opportunities and networking events.",Réaliser un projet qui en est au stade de l'idée ou de la conception grâce à une subvention de 210 000 $ échelonnée sur 36 mois afin d'offrir des programmes de mentorat et des ateliers aux jeunes racialisés dans les quartiers prioritaires de la région du grand Toronto. Les jeunes pourront suivre une formation spécialisée dans les domaines qui les intéressent et seront encouragés à atteindre leurs objectifs grâce à des initiatives de mentorat et à des activités de réseautage.,Grassroots Innovation - Test,,136303195RR0001,Brampton,L7A 1B3,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law,12 to 14 years;15 to 19 years,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Northwestern,No,2Y16170010957,Neechee Studio c/o Definitely Superior Art Gallery,9/28/2016,3/30/2017,400000,400000,48,"Delivering a project that builds on the success of a proven model or program with a grant of $400,000 over 48 months to expand its slate of free art workshops facilitated by Indigenous artists for Indigenous youth. The initiative will offer a safe space for youth in Thunder Bay and eight rural First Nations communities to create, socialize and engage with others, while building confidence and self-esteem.","Réaliser un projet qui repose sur un modèle ou un programme éprouvé grâce à une subvention de 400 000 $ échelonnée sur 48 mois afin d'élargir la gamme d'ateliers gratuits sur les arts animés par des artistes autochtones pour les jeunes autochtones. Cette initiative permettra d'offrir un endroit sûr aux jeunes de Thunder Bay et de huit communautés rurales des Premières Nations où ils pourront créer, socialiser et interagir tout en développant leur confiance en soi et leur estime de soi.",Grassroots Innovation - Scale,,121287767RR0001,Thunder Bay,P7A 8A7,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Youth at-risk of dropping out or have dropped out of school;Youth living in rural or remote communities;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Toronto,No,2Y16170011092,New Understanding (NU) c/o Planned Parenthood Toronto,9/28/2016,3/30/2017,63000,74800,24,"Delivering a project at the idea or conceptual stage with a grant of $74,800 over 24 months to create a mixed-media blog for newcomer, immigrant and second generation youth (NISY) and LGBTTQ+ youth. It will discuss their concerns and perspectives, expanding and diversifying sexual health conversations in the Greater Toronto Area. Using storytelling and the arts, NISY will be empowered to share stories that consider culture, religion and values, increase awareness of sexual health and build relationships among NISY.","Réaliser un projet qui repose sur un modèle ou un programme éprouvé grâce à une subvention de 74 800 $ échelonnée sur 24 mois afin de créer un blogue multimédias pour les jeunes nouveaux arrivants, immigrants et de deuxième génération ainsi que pour les jeunes LGBTBQ+. Ce blogue portera sur leurs préoccupations et leurs points de vue et permettra d'élargir et de diversifier le dialogue sur la santé sexuelle dans la région du grand Toronto. À l'aide d'histoires et d'œuvres artistiques, ces jeunes seront habilités à discuter de culture, de religion et de valeurs, se sensibiliseront à la santé sexuelle et pourront nouer des relations entre eux.",Grassroots Innovation - Test,,119094449RR0001,Toronto,M5V 2M7,Yes,"Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth in low-income situations or from low-income families",15 to 19 years;20 to 25 years,Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Northwestern,No,2Y16170011346,Onigaming c/o Ojibways of Onigaming,9/28/2016,3/30/2017,180000,210000,36,"Delivering a project at the idea or conceptual stage with a grant of $210,000 over 36 months to engage youth and give them opportunities to be heard, share their voices and ideas, feel more connected to the community, provide opportunities to learn leadership skills and address barriers that youth experience accessing services in Onigaming First Nation. ","Réaliser un projet qui en est au stade de l'idée ou de la conception grâce à une subvention de 210 000 $ échelonnée sur 36 mois afin de mobiliser les jeunes et de leur donner l'occasion de se faire entendre, de faire part de leurs points de vue et de leurs idées, de nouer des liens plus étroits avec la communauté, de développer leurs compétences en leadership et de surmonter les obstacles auxquels ils font face lorsqu'ils souhaitent accéder à des services dans la Première Nation d'Onigaming.",Grassroots Innovation - Test,,,Nestor Falls,P0X 1K0,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth living in rural or remote communities;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years,Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Toronto,No,2Y16170011239,Out of the Box c/o Springboard Youth Services,9/28/2016,3/30/2017,300000,298400,36,"Delivering a project that builds on the success of a proven model or program with a grant of $298,400 over 36 months to deliver Bridge the Gap, giving racialized and newcomer youth in the Firgrove and Swansea Mews areas access to hands-on trades training in the construction sector, and to provide personal development workshops. ","Réaliser le projet Bridge the Gap, qui repose sur un modèle ou un programme éprouvé, grâce à une subvention de 298 400 $ échelonnée sur 36 mois. Ce projet fournira aux jeunes racialisés et nouveaux arrivants des quartiers Firgrove et Swansea Mews des programmes de formation pratique dans le domaine de la construction et des ateliers de perfectionnement personnel.",Grassroots Innovation - Scale,287096,119069094RR0001,Toronto,L1V 5Z8,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law,15 to 19 years;20 to 25 years,Youth know about and easily navigate resources and opportunities in their communities,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Thames Valley,No,2Y16170011203,"Out There Creative Therapy c/o Canadian Mental Health Association, Elgin",9/28/2016,3/30/2017,209610,209600,36,"Delivering a project at the idea or conceptual stage with a grant of $209,600 over 36 months to deliver individual and group mentoring, artistic training and education programs for youth experiencing mental health issues in Elgin County. Using the arts, storytelling and one-on-one training with professional mentors, a creative resource space will be set up in Springfield where youth can feel safe to experiment creatively, while accessing mental health information and resources. ","Réaliser un projet qui en est au stade de l'idée ou de la conception grâce à une subvention de 209 600 $ échelonnée sur 36 mois afin d'offrir des programmes de mentorat, de formation artistique et d'éducation individuels et en groupe aux jeunes ayant un problème de santé mentale dans le comté d'Elgin. On aura recours aux arts, à la communication narrative et à la formation individuelle dispensée par des mentors professionnels pour créer un endroit sûr où les jeunes pourront exprimer leur créativité tout en accédant à des renseignements et à des ressources dans le domaine de la santé mentale à Springfield.",Grassroots Innovation - Test,,118834233 RR0001,Springfield,N0L 2J0,Yes,Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth living in rural or remote communities;Youth living with disabilities or special needs between the ages of 12 to 29,12 to 29 years for youth with special needs or disabilities,Youth know about and easily navigate resources and opportunities in their communities,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Toronto,No,2Y16170011577,Rainbow's Pride in Scarborough (RPIS) c/o SKETCH Working Arts for Street-involved and Homeless Youth,9/28/2016,3/30/2017,89227,97200,36,"Delivering a project that builds on the success of a proven model or program with a $97,200 over 36 months to offer costume design workshops and Pride events for queer and trans youth with disabilities in Scarborough. Leadership opportunities will also be offered to engage the youth in their community.",Réaliser un projet qui repose sur un modèle ou un programme éprouvé grâce à une subvention de 97 200 $ échelonnée sur 36 mois afin d'offrir des ateliers de conception de costumes et des activités axées sur la fierté aux jeunes queer et trans ayant un handicap à Scarborough. On offrira également aux jeunes des possibilités de leadership afin de les mobiliser dans leur communauté.,Grassroots Innovation - Scale,,85912 8332 RR0001,North York,M3J 3J6,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law",15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Champlain,No,2Y16170011150,Refuge Zone c/o Assunah Muslim Association,9/28/2016,3/30/2017,210000,201200,36,"Delivering a project at the idea or conceptual stage with a grant of $201,200 over 36 months to organize weekly opportunities for newcomer Syrian youth to meet in a safe setting, build relationships, integrate into society using their first language, and become engaged in the community.","Réaliser un projet qui en est au stade de l'idée ou de la conception grâce à une subvention de 201 200 $ échelonnée sur 36 mois afin que de jeunes Syriens nouvellement arrivés puissent se rencontrer toutes les semaines dans un endroit sûr, nouer des relations, s'intégrer à la société en utilisant leur langue maternelle et jouer un rôle actif dans la communauté.",Grassroots Innovation - Test - ON 150,,863858494RR0001,Ottawa,K1T 3P1,Yes,Newcomer youth;Racialized youth (other than Black youth);Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law,12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities;Parents or gaurdians of young people,Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,"Algoma, Cochrane, Manitoulin, Sudbury",No,2Y16170011131,Refugee705 c/o Sault Community Information and Career Centre Inc,9/28/2016,3/30/2017,117226,122100,24,"Delivering a project at the idea or conceptual stage with a $122,100 over 24 months to facilitate activities that promote, strong, healthy and cross-cultural relationships between refugees and Canadian-born youth and adults in Sault Ste. Marie. The initiative will help newcomer youth integrate successfully into their new community. ",Réaliser un projet qui en est au stade de l'idée ou de la conception grâce à une subvention de 122 100 $ échelonnée sur 24 mois afin d'offrir des activités qui aident les réfugiés ainsi que les jeunes et les adultes nés au Canada à nouer des relations interculturelles saines et solides entre eux à Sault Ste. Marie. Ce projet aidera les jeunes nouveaux arrivants à s'intégrer à leur nouvelle communauté.,Grassroots Innovation - Test,965336,,Sault Ste Marie,P6A 5K8,Yes,Newcomer youth;Youth in low-income situations or from low-income families;Youth living in rural or remote communities,12 to 14 years;15 to 19 years;Parents or gaurdians of young people,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Toronto,No,2Y16170011295,Remembered Voices c/o SKETCH Working Arts for Street-involved and Homeless Youth,9/28/2016,3/30/2017,400000,400000,48,"Delivering a project that builds on the success of a proven model or program with a $400,000 grant over 48 months to expand a drop-in program, focusing on youth and enhancing programs to include Traditional Teachings for 2Spirit/LGBTTQ Indigenous youth in Toronto. The initiative will help youth develop leadership and life-building skills, while strengthening a sense of community and belonging. ","Réaliser un projet qui repose sur un modèle ou un programme éprouvé grâce à une subvention de 400 000 $ échelonnée sur 48 mois afin d'élargir un programme d'accueil des jeunes et d'améliorer d'autres programmes, y compris un programme d'enseignements traditionnels destinés aux jeunes autochtones bispirituels ou LGBTBQ à Toronto. Cette initiative aidera les jeunes à développer leurs capacités de leadership et les habiletés leur permettant de construire leur vie, tout en renforçant leur sentiment d'appartenance à la communauté.",Grassroots Innovation - Scale,,85912 8332 RR0001,Toronto,M6C 1A3,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Halton Peel,No,2Y16170011328,Resiliency 4 Recovery c/o Community Development Halton,9/28/2016,3/30/2017,140000,140000,24,"Delivering a project at the idea or conceptual stage with a grant of $140,000 over 24 months to host weekly peer support meetings and community engagement opportunities for youth with mental health or addictions concerns in Oakville. It will give youth access to tools and resources supporting personal development and provide opportunities to lead initiatives in support of the community, such as overdose awareness campaigns and gardening programs. ","Réaliser un projet qui en est au stade de l'idée ou de la conception grâce à une subvention de 140 000 $ échelonnée sur 24 mois afin d'organiser des séances hebdomadaires de soutien par les pairs et des activités de participation communautaires pour les jeunes ayant des problèmes de toxicomanie ou de santé mentale à Oakville. Ainsi, les jeunes pourront accéder à des outils et à des ressources favorisant leur développement et diriger des initiatives de soutien dans la communauté comme des campagnes de sensibilisation aux surdoses et des programmes de jardinage.",Grassroots Innovation - Test,575450,107462525RR0001,Oakville,L6M 3Y4,Yes,Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29,19 to 25 years;12 to 29 years for youth with special needs or disabilities,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Toronto,No,2Y16170011056,RISE Edutainment c/o VIBE Arts,9/28/2016,3/30/2017,300000,300000,36,"Delivering a project that builds on the success of a proven model or program with a grant of $300,000 over 36 months to expand on weekly artistic gatherings, as well as continuing its annual celebration and conferences for racialized youth in Toronto. These events provide a welcoming, supportive and positive space for young people and artists in the community.",Réaliser un projet qui repose sur un modèle ou un programme éprouvé grâce à une subvention de 300 000 $ échelonnée sur 36 mois afin d'offrir un plus grand nombre de rencontres artistiques hebdomadaires et de poursuivre la célébration et la conférence annuelles organisées pour les jeunes racialisés à Toronto. Ces activités offrent un endroit accueillant et positif où les jeunes et les artistes de la communauté se sentent soutenus.,Grassroots Innovation - Scale,739341,897960456RR0001,Scarborough,M1B 6G5,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law,15 to 19 years;20 to 25 years;Parents or gaurdians of young people,Youth know about and easily navigate resources and opportunities in their communities,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Hamilton,No,2Y16170011235,speqtrum hamilton c/o YWCA Hamilton,9/28/2016,3/30/2017,210000,210000,36,"Delivering a project at the idea or conceptual stage with a grant of $210,000 over 36 months to host biweekly meetups (one active and one social), as well as monthly skill sharing and mentorship workshops for trans and queer youth aged 15-25 in Hamilton.",Réaliser un projet qui en est au stade de l'idée ou de la conception grâce à une subvention de 210 000 $ échelonnée sur 36 mois afin d'organiser des rencontres bimensuelles (une rencontre active et une activité sociale) et des ateliers mensuels de partage des compétences et de mentorat pour les jeunes trans et queer âgés de 15 à 25 ans à Hamilton.,Grassroots Innovation - Test,5143,119236792RR0001,Hamilton,L8M 1P8,Yes,"Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families",15 to 19 years;20 to 25 years,"Youth form and maintain healthy, close relationships",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Northwestern,No,2Y16170011038,St. Joseph's Care Group,9/28/2016,3/30/2017,882000,882500,48,"With a grant of $882,000 over 48 months, this collaborative initiative will improve the system of care to detect psychosis symptoms early, and access appropriate services for youth with psychosis who live in Northwestern Ontario. The collaborative initiative will increase connections between sectors, redesign existing resource tools, increase the availability and capacity of service providers, improving the pathways for youth who experience psychosis.","Grâce à une subvention de 882 000 $ échelonnée sur 48 mois, cette initiative de collaboration améliorera le système de soins afin que l'on puisse détecter rapidement les symptômes de la psychose et que les jeunes du Nord-Ouest de l'Ontario souffrant de cette maladie puissent accéder aux services dont ils ont besoin. Cette initiative de collaboration renforcera les liens entre les secteurs et permettra de repenser les ressources offertes, d'offrir un plus grand nombre de services et de renforcer les capacités des fournisseurs de services, ce qui améliorera le cheminement des jeunes aux prises avec une psychose.",Strategic Collaboration,336624,119183267,Thunder Bay,P7B 5G4,No,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth living in rural or remote communities;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law",12 to 29 years for youth with special needs or disabilities,Youth know about and easily navigate resources and opportunities in their communities,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2016-2017,Youth Opportunities Fund ,Toronto,No,2Y16170010985,The Film Stars Project c/o The Canadian Training Institute,9/28/2016,3/30/2017,300000,300000,36,"Delivering a project that builds on the success of a proven model or program with a grant of $300,000 over 36 months to deliver film and media training programs focusing on technical, creative and teamwork skills for racialized youth in the Jane/Finch and Rexdale communities.","Réaliser un projet qui repose sur un modèle ou un programme éprouvé grâce à une subvention de 300 000 $ échelonnée sur 36 mois afin d'offrir aux jeunes racialisés des communautés de Jane/Finch et de Rexdale des programmes de formation en cinéma et d'étude des médias qui mettent l'accent sur les compétences techniques, la création et le travail d'équipe. ",Grassroots Innovation - Scale,1684698,886605997RR0001,Toronto,M5V 3H5,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families;Youth vulnerable of becoming or are in conflict with the law,12 to 14 years;15 to 19 years;20 to 25 years,Youth know about and easily navigate resources and opportunities in their communities,3/5/2020 0:00
